Nyckeltal,Region,År,Invånare
"Invånare  totalt, antal",Huddinge,2012,101010
"Invånare  totalt, antal",Huddinge,2013,102557
"Invånare  totalt, antal",Huddinge,2014,104185
"Invånare  totalt, antal",Huddinge,2015,105311
"Invånare  totalt, antal",Huddinge,2016,107538
"Invånare  totalt, antal",Hudiksvall,2010,36849
"Invånare  totalt, antal",Hudiksvall,2011,36784
"Invånare  totalt, antal",Hudiksvall,2012,36821
"Invånare  totalt, antal",Hudiksvall,2013,36829
"Invånare  totalt, antal",Hudiksvall,2014,36924
"Invånare  totalt, antal",Hudiksvall,2015,36975
"Invånare  totalt, antal",Hudiksvall,2016,37299
"Invånare  totalt, antal",Hultsfred,2010,13696
"Invånare  totalt, antal",Hultsfred,2011,13515
"Invånare  totalt, antal",Hultsfred,2012,13550
"Invånare  totalt, antal",Hultsfred,2013,13635
"Invånare  totalt, antal",Hultsfred,2014,13738
"Invånare  totalt, antal",Hultsfred,2015,13919
"Invånare  totalt, antal",Hultsfred,2016,14607
"Invånare  totalt, antal",Hylte,2010,10177
"Invånare  totalt, antal",Hylte,2011,10126
"Invånare  totalt, antal",Hylte,2012,10032
"Invånare  totalt, antal",Hylte,2013,10001
"Invånare  totalt, antal",Hylte,2014,10278
"Invånare  totalt, antal",Hylte,2015,10514
"Invånare  totalt, antal",Hylte,2016,10954
"Invånare  totalt, antal",Håbo,2010,19629
"Invånare  totalt, antal",Håbo,2011,19715
"Invånare  totalt, antal",Håbo,2012,19883
"Invånare  totalt, antal",Håbo,2013,19968
"Invånare  totalt, antal",Håbo,2014,20034
"Invånare  totalt, antal",Håbo,2015,20279
"Invånare  totalt, antal",Håbo,2016,20737
"Invånare  totalt, antal",Hällefors,2010,7220
"Invånare  totalt, antal",Hällefors,2011,7140
"Invånare  totalt, antal",Hällefors,2012,6988
"Invånare  totalt, antal",Hällefors,2013,6982
"Invånare  totalt, antal",Hällefors,2014,6936
"Invånare  totalt, antal",Hällefors,2015,7032
"Invånare  totalt, antal",Hällefors,2016,7138
"Invånare  totalt, antal",Härjedalen,2010,10454
"Invånare  totalt, antal",Härjedalen,2011,10341
"Invånare  totalt, antal",Härjedalen,2012,10246
"Invånare  totalt, antal",Härjedalen,2013,10281
"Invånare  totalt, antal",Härjedalen,2014,10224
"Invånare  totalt, antal",Härjedalen,2015,10262
"Invånare  totalt, antal",Härjedalen,2016,10200
"Invånare  totalt, antal",Härnösand,2010,24611
"Invånare  totalt, antal",Härnösand,2011,24541
"Invånare  totalt, antal",Härnösand,2012,24398
"Invånare  totalt, antal",Härnösand,2013,24509
"Invånare  totalt, antal",Härnösand,2014,24755
"Invånare  totalt, antal",Härnösand,2015,25066
"Invånare  totalt, antal",Härnösand,2016,25269
"Invånare  totalt, antal",Härryda,2010,34463
"Invånare  totalt, antal",Härryda,2011,34854
"Invånare  totalt, antal",Härryda,2012,35223
"Invånare  totalt, antal",Härryda,2013,35732
"Invånare  totalt, antal",Härryda,2014,36291
"Invånare  totalt, antal",Härryda,2015,36651
"Invånare  totalt, antal",Härryda,2016,37108
"Invånare  totalt, antal",Hässleholm,2010,50107
"Invånare  totalt, antal",Hässleholm,2011,50164
"Invånare  totalt, antal",Hässleholm,2012,50163
"Invånare  totalt, antal",Hässleholm,2013,50227
"Invånare  totalt, antal",Hässleholm,2014,50565
"Invånare  totalt, antal",Hässleholm,2015,51048
"Invånare  totalt, antal",Hässleholm,2016,51667
"Invånare  totalt, antal",Höganäs,2010,24637
"Invånare  totalt, antal",Höganäs,2011,24698
"Invånare  totalt, antal",Höganäs,2012,24863
"Invånare  totalt, antal",Höganäs,2013,25084
"Invånare  totalt, antal",Höganäs,2014,25298
"Invånare  totalt, antal",Höganäs,2015,25610
"Invånare  totalt, antal",Höganäs,2016,25847
"Invånare  totalt, antal",Högsby,2010,5777
"Invånare  totalt, antal",Högsby,2011,5768
"Invånare  totalt, antal",Högsby,2012,5730
"Invånare  totalt, antal",Högsby,2013,5718
"Invånare  totalt, antal",Högsby,2014,5782
"Invånare  totalt, antal",Högsby,2015,5857
"Invånare  totalt, antal",Högsby,2016,6080
"Invånare  totalt, antal",Hörby,2010,14840
"Invånare  totalt, antal",Hörby,2011,14901
"Invånare  totalt, antal",Hörby,2012,14958
"Invånare  totalt, antal",Hörby,2013,14917
"Invånare  totalt, antal",Hörby,2014,14927
"Invånare  totalt, antal",Hörby,2015,15020
"Invånare  totalt, antal",Hörby,2016,15283
"Invånare  totalt, antal",Höör,2010,15460
"Invånare  totalt, antal",Höör,2011,15492
"Invånare  totalt, antal",Höör,2012,15526
"Invånare  totalt, antal",Höör,2013,15637
"Invånare  totalt, antal",Höör,2014,15770
"Invånare  totalt, antal",Höör,2015,15970
"Invånare  totalt, antal",Höör,2016,16192
"Invånare  totalt, antal",Jokkmokk,2010,5170
"Invånare  totalt, antal",Jokkmokk,2011,5119
"Invånare  totalt, antal",Jokkmokk,2012,5086
"Invånare  totalt, antal",Jokkmokk,2013,5066
"Invånare  totalt, antal",Jokkmokk,2014,5086
"Invånare  totalt, antal",Jokkmokk,2015,5072
"Invånare  totalt, antal",Jokkmokk,2016,5105
"Invånare  totalt, antal",Järfälla,2010,66211
"Invånare  totalt, antal",Järfälla,2011,67320
"Invånare  totalt, antal",Järfälla,2012,68210
"Invånare  totalt, antal",Järfälla,2013,69167
"Invånare  totalt, antal",Järfälla,2014,70701
"Invånare  totalt, antal",Järfälla,2015,72429
"Invånare  totalt, antal",Järfälla,2016,74412
"Invånare  totalt, antal",Jönköping,2010,127382
"Invånare  totalt, antal",Jönköping,2011,128305
"Invånare  totalt, antal",Jönköping,2012,129478
"Invånare  totalt, antal",Jönköping,2013,130798
"Invånare  totalt, antal",Jönköping,2014,132140
"Invånare  totalt, antal",Jönköping,2015,133310
"Invånare  totalt, antal",Jönköping,2016,135297
"Invånare  totalt, antal",Kalix,2010,16740
"Invånare  totalt, antal",Kalix,2011,16591
"Invånare  totalt, antal",Kalix,2012,16518
"Invånare  totalt, antal",Kalix,2013,16387
"Invånare  totalt, antal",Kalix,2014,16307
"Invånare  totalt, antal",Kalix,2015,16248
"Invånare  totalt, antal",Kalix,2016,16223
"Invånare  totalt, antal",Kalmar,2010,62815
"Invånare  totalt, antal",Kalmar,2011,63055
"Invånare  totalt, antal",Kalmar,2012,63671
"Invånare  totalt, antal",Kalmar,2013,63887
"Invånare  totalt, antal",Kalmar,2014,64676
"Invånare  totalt, antal",Kalmar,2015,65704
"Invånare  totalt, antal",Kalmar,2016,66571
"Invånare  totalt, antal",Karlsborg,2010,6752
"Invånare  totalt, antal",Karlsborg,2011,6722
"Invånare  totalt, antal",Karlsborg,2012,6699
"Invånare  totalt, antal",Karlsborg,2013,6757
"Invånare  totalt, antal",Karlsborg,2014,6786
"Invånare  totalt, antal",Karlsborg,2015,6764
"Invånare  totalt, antal",Karlsborg,2016,6913
"Invånare  totalt, antal",Karlshamn,2010,31143
"Invånare  totalt, antal",Karlshamn,2011,31185
"Invånare  totalt, antal",Karlshamn,2012,31132
"Invånare  totalt, antal",Karlshamn,2013,31272
"Invånare  totalt, antal",Karlshamn,2014,31598
"Invånare  totalt, antal",Karlshamn,2015,31846
"Invånare  totalt, antal",Karlshamn,2016,32130
"Invånare  totalt, antal",Karlskoga,2010,29668
"Invånare  totalt, antal",Karlskoga,2011,29616
"Invånare  totalt, antal",Karlskoga,2012,29631
"Invånare  totalt, antal",Karlskoga,2013,29728
"Invånare  totalt, antal",Karlskoga,2014,30054
"Invånare  totalt, antal",Karlskoga,2015,30283
"Invånare  totalt, antal",Karlskoga,2016,30538
"Invånare  totalt, antal",Karlskrona,2010,64032
"Invånare  totalt, antal",Karlskrona,2011,64215
"Invånare  totalt, antal",Karlskrona,2012,63691
"Invånare  totalt, antal",Karlskrona,2013,63912
"Invånare  totalt, antal",Karlskrona,2014,64348
"Invånare  totalt, antal",Karlskrona,2015,65380
"Invånare  totalt, antal",Karlskrona,2016,66262
"Invånare  totalt, antal",Karlstad,2010,85753
"Invånare  totalt, antal",Karlstad,2011,86409
"Invånare  totalt, antal",Karlstad,2012,86929
"Invånare  totalt, antal",Karlstad,2013,87786
"Invånare  totalt, antal",Karlstad,2014,88350
"Invånare  totalt, antal",Karlstad,2015,89245
"Invånare  totalt, antal",Karlstad,2016,90198
"Invånare  totalt, antal",Katrineholm,2010,32428
"Invånare  totalt, antal",Katrineholm,2011,32409
"Invånare  totalt, antal",Katrineholm,2012,32549
"Invånare  totalt, antal",Katrineholm,2013,32930
"Invånare  totalt, antal",Katrineholm,2014,33268
"Invånare  totalt, antal",Katrineholm,2015,33462
"Invånare  totalt, antal",Katrineholm,2016,33722
"Invånare  totalt, antal",Kil,2010,11706
"Invånare  totalt, antal",Kil,2011,11682
"Invånare  totalt, antal",Kil,2012,11782
"Invånare  totalt, antal",Kil,2013,11810
"Invånare  totalt, antal",Kil,2014,11885
"Invånare  totalt, antal",Kil,2015,11802
"Invånare  totalt, antal",Kil,2016,11800
"Invånare  totalt, antal",Kinda,2010,9762
"Invånare  totalt, antal",Kinda,2011,9799
"Invånare  totalt, antal",Kinda,2012,9744
"Invånare  totalt, antal",Kinda,2013,9802
"Invånare  totalt, antal",Kinda,2014,9795
"Invånare  totalt, antal",Kinda,2015,9795
"Invånare  totalt, antal",Kinda,2016,9874
"Invånare  totalt, antal",Kiruna,2010,22944
"Invånare  totalt, antal",Kiruna,2011,22967
"Invånare  totalt, antal",Kiruna,2012,22972
"Invånare  totalt, antal",Kiruna,2013,23196
"Invånare  totalt, antal",Kiruna,2014,23241
"Invånare  totalt, antal",Kiruna,2015,23178
"Invånare  totalt, antal",Kiruna,2016,23167
"Invånare  totalt, antal",Klippan,2010,16515
"Invånare  totalt, antal",Klippan,2011,16601
"Invånare  totalt, antal",Klippan,2012,16660
"Invånare  totalt, antal",Klippan,2013,16715
"Invånare  totalt, antal",Klippan,2014,16733
"Invånare  totalt, antal",Klippan,2015,16917
"Invånare  totalt, antal",Klippan,2016,17219
"Invånare  totalt, antal",Knivsta,2010,14724
"Invånare  totalt, antal",Knivsta,2011,14965
"Invånare  totalt, antal",Knivsta,2012,15279
"Invånare  totalt, antal",Knivsta,2013,15580
"Invånare  totalt, antal",Knivsta,2014,16105
"Invånare  totalt, antal",Knivsta,2015,16869
"Invånare  totalt, antal",Knivsta,2016,17323
"Invånare  totalt, antal",Kramfors,2010,18911
"Invånare  totalt, antal",Kramfors,2011,18742
"Invånare  totalt, antal",Kramfors,2012,18516
"Invånare  totalt, antal",Kramfors,2013,18450
"Invånare  totalt, antal",Kramfors,2014,18435
"Invånare  totalt, antal",Kramfors,2015,18359
"Invånare  totalt, antal",Kramfors,2016,18681
"Invånare  totalt, antal",Kristianstad,2010,79543
"Invånare  totalt, antal",Kristianstad,2011,79930
"Invånare  totalt, antal",Kristianstad,2012,80507
"Invånare  totalt, antal",Kristianstad,2013,81009
"Invånare  totalt, antal",Kristianstad,2014,81826
"Invånare  totalt, antal",Kristianstad,2015,82510
"Invånare  totalt, antal",Kristianstad,2016,83191
"Invånare  totalt, antal",Kristinehamn,2010,23808
"Invånare  totalt, antal",Kristinehamn,2011,23698
"Invånare  totalt, antal",Kristinehamn,2012,23729
"Invånare  totalt, antal",Kristinehamn,2013,23949
"Invånare  totalt, antal",Kristinehamn,2014,24114
"Invånare  totalt, antal",Kristinehamn,2015,24270
"Invånare  totalt, antal",Kristinehamn,2016,24671
"Invånare  totalt, antal",Krokom,2010,14535
"Invånare  totalt, antal",Krokom,2011,14559
"Invånare  totalt, antal",Krokom,2012,14590
"Invånare  totalt, antal",Krokom,2013,14643
"Invånare  totalt, antal",Krokom,2014,14648
"Invånare  totalt, antal",Krokom,2015,14785
"Invånare  totalt, antal",Krokom,2016,14843
"Invånare  totalt, antal",Kumla,2010,20456
"Invånare  totalt, antal",Kumla,2011,20510
"Invånare  totalt, antal",Kumla,2012,20738
"Invånare  totalt, antal",Kumla,2013,20904
"Invånare  totalt, antal",Kumla,2014,21016
"Invånare  totalt, antal",Kumla,2015,21154
"Invånare  totalt, antal",Kumla,2016,21334
"Invånare  totalt, antal",Kungsbacka,2010,75025
"Invånare  totalt, antal",Kungsbacka,2011,75954
"Invånare  totalt, antal",Kungsbacka,2012,76786
"Invånare  totalt, antal",Kungsbacka,2013,77390
"Invånare  totalt, antal",Kungsbacka,2014,78219
"Invånare  totalt, antal",Kungsbacka,2015,79144
"Invånare  totalt, antal",Kungsbacka,2016,80442
"Invånare  totalt, antal",Kungsör,2010,8089
"Invånare  totalt, antal",Kungsör,2011,8086
"Invånare  totalt, antal",Kungsör,2012,8030
"Invånare  totalt, antal",Kungsör,2013,8175
"Invånare  totalt, antal",Kungsör,2014,8269
"Invånare  totalt, antal",Kungsör,2015,8343
"Invånare  totalt, antal",Kungsör,2016,8432
"Invånare  totalt, antal",Kungälv,2010,41241
"Invånare  totalt, antal",Kungälv,2011,41538
"Invånare  totalt, antal",Kungälv,2012,41753
"Invånare  totalt, antal",Kungälv,2013,42109
"Invånare  totalt, antal",Kungälv,2014,42334
"Invånare  totalt, antal",Kungälv,2015,42730
"Invånare  totalt, antal",Kungälv,2016,43289
"Invånare  totalt, antal",Kävlinge,2010,29013
"Invånare  totalt, antal",Kävlinge,2011,29261
"Invånare  totalt, antal",Kävlinge,2012,29427
"Invånare  totalt, antal",Kävlinge,2013,29600
"Invånare  totalt, antal",Kävlinge,2014,29808
"Invånare  totalt, antal",Kävlinge,2015,30104
"Invånare  totalt, antal",Kävlinge,2016,30532
"Invånare  totalt, antal",Köping,2010,24905
"Invånare  totalt, antal",Köping,2011,24807
"Invånare  totalt, antal",Köping,2012,24854
"Invånare  totalt, antal",Köping,2013,25237
"Invånare  totalt, antal",Köping,2014,25376
"Invånare  totalt, antal",Köping,2015,25557
"Invånare  totalt, antal",Köping,2016,25950
"Invånare  totalt, antal",Laholm,2010,23390
"Invånare  totalt, antal",Laholm,2011,23470
"Invånare  totalt, antal",Laholm,2012,23458
"Invånare  totalt, antal",Laholm,2013,23517
"Invånare  totalt, antal",Laholm,2014,23781
"Invånare  totalt, antal",Laholm,2015,24195
"Invånare  totalt, antal",Laholm,2016,24664
"Invånare  totalt, antal",Landskrona,2010,41724
"Invånare  totalt, antal",Landskrona,2011,42189
"Invånare  totalt, antal",Landskrona,2012,42560
"Invånare  totalt, antal",Landskrona,2013,43073
"Invånare  totalt, antal",Landskrona,2014,43574
"Invånare  totalt, antal",Landskrona,2015,43961
"Invånare  totalt, antal",Landskrona,2016,44611
"Invånare  totalt, antal",Laxå,2010,5686
"Invånare  totalt, antal",Laxå,2011,5622
"Invånare  totalt, antal",Laxå,2012,5552
"Invånare  totalt, antal",Laxå,2013,5580
"Invånare  totalt, antal",Laxå,2014,5664
"Invånare  totalt, antal",Laxå,2015,5656
"Invånare  totalt, antal",Laxå,2016,5709
"Invånare  totalt, antal",Lekeberg,2010,7134
"Invånare  totalt, antal",Lekeberg,2011,7223
"Invånare  totalt, antal",Lekeberg,2012,7298
"Invånare  totalt, antal",Lekeberg,2013,7289
"Invånare  totalt, antal",Lekeberg,2014,7363
"Invånare  totalt, antal",Lekeberg,2015,7492
"Invånare  totalt, antal",Lekeberg,2016,7636
"Invånare  totalt, antal",Leksand,2010,15289
"Invånare  totalt, antal",Leksand,2011,15238
"Invånare  totalt, antal",Leksand,2012,15146
"Invånare  totalt, antal",Leksand,2013,15157
"Invånare  totalt, antal",Leksand,2014,15252
"Invånare  totalt, antal",Leksand,2015,15326
"Invånare  totalt, antal",Leksand,2016,15507
"Invånare  totalt, antal",Lerum,2010,38580
"Invånare  totalt, antal",Lerum,2011,38788
"Invånare  totalt, antal",Lerum,2012,39070
"Invånare  totalt, antal",Lerum,2013,39319
"Invånare  totalt, antal",Lerum,2014,39771
"Invånare  totalt, antal",Lerum,2015,40181
"Invånare  totalt, antal",Lerum,2016,40692
"Invånare  totalt, antal",Lessebo,2010,8139
"Invånare  totalt, antal",Lessebo,2011,8077
"Invånare  totalt, antal",Lessebo,2012,8012
"Invånare  totalt, antal",Lessebo,2013,8059
"Invånare  totalt, antal",Lessebo,2014,8256
"Invånare  totalt, antal",Lessebo,2015,8516
"Invånare  totalt, antal",Lessebo,2016,8760
"Invånare  totalt, antal",Lidingö,2010,44017
"Invånare  totalt, antal",Lidingö,2011,44081
"Invånare  totalt, antal",Lidingö,2012,44434
"Invånare  totalt, antal",Lidingö,2013,45178
"Invånare  totalt, antal",Lidingö,2014,45465
"Invånare  totalt, antal",Lidingö,2015,46302
"Invånare  totalt, antal",Lidingö,2016,46853
"Invånare  totalt, antal",Lidköping,2010,38048
"Invånare  totalt, antal",Lidköping,2011,38183
"Invånare  totalt, antal",Lidköping,2012,38254
"Invånare  totalt, antal",Lidköping,2013,38414
"Invånare  totalt, antal",Lidköping,2014,38761
"Invånare  totalt, antal",Lidköping,2015,39009
"Invånare  totalt, antal",Lidköping,2016,39235
"Invånare  totalt, antal",Lilla Edet,2010,12578
"Invånare  totalt, antal",Lilla Edet,2011,12540
"Invånare  totalt, antal",Lilla Edet,2012,12580
"Invånare  totalt, antal",Lilla Edet,2013,12829
"Invånare  totalt, antal",Lilla Edet,2014,13031
"Invånare  totalt, antal",Lilla Edet,2015,13178
"Invånare  totalt, antal",Lilla Edet,2016,13728
"Invånare  totalt, antal",Lindesberg,2010,23034
"Invånare  totalt, antal",Lindesberg,2011,23108
"Invånare  totalt, antal",Lindesberg,2012,22979
"Invånare  totalt, antal",Lindesberg,2013,23176
"Invånare  totalt, antal",Lindesberg,2014,23269
"Invånare  totalt, antal",Lindesberg,2015,23562
"Invånare  totalt, antal",Lindesberg,2016,23744
"Invånare  totalt, antal",Linköping,2010,146416
"Invånare  totalt, antal",Linköping,2011,147334
"Invånare  totalt, antal",Linköping,2012,148521
"Invånare  totalt, antal",Linköping,2013,150202
"Invånare  totalt, antal",Linköping,2014,151881
"Invånare  totalt, antal",Linköping,2015,152966
"Invånare  totalt, antal",Linköping,2016,155817
"Invånare  totalt, antal",Ljungby,2010,27297
"Invånare  totalt, antal",Ljungby,2011,27357
"Invånare  totalt, antal",Ljungby,2012,27423
"Invånare  totalt, antal",Ljungby,2013,27277
"Invånare  totalt, antal",Ljungby,2014,27522
"Invånare  totalt, antal",Ljungby,2015,27638
"Invånare  totalt, antal",Ljungby,2016,28008
"Invånare  totalt, antal",Ljusdal,2010,19065
"Invånare  totalt, antal",Ljusdal,2011,18974
"Invånare  totalt, antal",Ljusdal,2012,18880
"Invånare  totalt, antal",Ljusdal,2013,18931
"Invånare  totalt, antal",Ljusdal,2014,18949
"Invånare  totalt, antal",Ljusdal,2015,19027
"Invånare  totalt, antal",Ljusdal,2016,19067
"Invånare  totalt, antal",Ljusnarsberg,2010,4931
"Invånare  totalt, antal",Ljusnarsberg,2011,4870
"Invånare  totalt, antal",Ljusnarsberg,2012,4848
"Invånare  totalt, antal",Ljusnarsberg,2013,4875
"Invånare  totalt, antal",Ljusnarsberg,2014,4913
"Invånare  totalt, antal",Ljusnarsberg,2015,4928
"Invånare  totalt, antal",Ljusnarsberg,2016,5006
"Invånare  totalt, antal",Lomma,2010,21559
"Invånare  totalt, antal",Lomma,2011,22017
"Invånare  totalt, antal",Lomma,2012,22298
"Invånare  totalt, antal",Lomma,2013,22496
"Invånare  totalt, antal",Lomma,2014,22946
"Invånare  totalt, antal",Lomma,2015,23324
"Invånare  totalt, antal",Lomma,2016,23887
"Invånare  totalt, antal",Ludvika,2010,25810
"Invånare  totalt, antal",Ludvika,2011,25586
"Invånare  totalt, antal",Ludvika,2012,25639
"Invånare  totalt, antal",Ludvika,2013,25712
"Invånare  totalt, antal",Ludvika,2014,26030
"Invånare  totalt, antal",Ludvika,2015,26362
"Invånare  totalt, antal",Ludvika,2016,26933
"Invånare  totalt, antal",Luleå,2010,74178
"Invånare  totalt, antal",Luleå,2011,74426
"Invånare  totalt, antal",Luleå,2012,74905
"Invånare  totalt, antal",Luleå,2013,75383
"Invånare  totalt, antal",Luleå,2014,75966
"Invånare  totalt, antal",Luleå,2015,76088
"Invånare  totalt, antal",Luleå,2016,76770
"Invånare  totalt, antal",Lund,2010,110488
"Invånare  totalt, antal",Lund,2011,111666
"Invånare  totalt, antal",Lund,2012,112950
"Invånare  totalt, antal",Lund,2013,114291
"Invånare  totalt, antal",Lund,2014,115968
"Invånare  totalt, antal",Lund,2015,116834
"Invånare  totalt, antal",Lund,2016,118542
"Invånare  totalt, antal",Lycksele,2010,12376
"Invånare  totalt, antal",Lycksele,2011,12343
"Invånare  totalt, antal",Lycksele,2012,12351
"Invånare  totalt, antal",Lycksele,2013,12270
"Invånare  totalt, antal",Lycksele,2014,12208
"Invånare  totalt, antal",Lycksele,2015,12177
"Invånare  totalt, antal",Lycksele,2016,12187
"Invånare  totalt, antal",Lysekil,2010,14521
"Invånare  totalt, antal",Lysekil,2011,14398
"Invånare  totalt, antal",Lysekil,2012,14396
"Invånare  totalt, antal",Lysekil,2013,14369
"Invånare  totalt, antal",Lysekil,2014,14299
"Invånare  totalt, antal",Lysekil,2015,14464
"Invånare  totalt, antal",Lysekil,2016,14570
"Invånare  totalt, antal",Malmö,2010,298963
"Invånare  totalt, antal",Malmö,2011,302835
"Invånare  totalt, antal",Malmö,2012,307758
"Invånare  totalt, antal",Malmö,2013,312994
"Invånare  totalt, antal",Malmö,2014,318107
"Invånare  totalt, antal",Malmö,2015,322574
"Invånare  totalt, antal",Malmö,2016,328494
"Invånare  totalt, antal",Malung-Sälen,2010,10356
"Invånare  totalt, antal",Malung-Sälen,2011,10262
"Invånare  totalt, antal",Malung-Sälen,2012,10178
"Invånare  totalt, antal",Malung-Sälen,2013,10061
"Invånare  totalt, antal",Malung-Sälen,2014,9969
"Invånare  totalt, antal",Malung-Sälen,2015,10036
"Invånare  totalt, antal",Malung-Sälen,2016,10091
"Invånare  totalt, antal",Malå,2010,3274
"Invånare  totalt, antal",Malå,2011,3230
"Invånare  totalt, antal",Malå,2012,3196
"Invånare  totalt, antal",Malå,2013,3155
"Invånare  totalt, antal",Malå,2014,3115
"Invånare  totalt, antal",Malå,2015,3109
"Invånare  totalt, antal",Malå,2016,3100
"Invånare  totalt, antal",Mariestad,2010,23741
"Invånare  totalt, antal",Mariestad,2011,23732
"Invånare  totalt, antal",Mariestad,2012,23739
"Invånare  totalt, antal",Mariestad,2013,23870
"Invånare  totalt, antal",Mariestad,2014,23921
"Invånare  totalt, antal",Mariestad,2015,24043
"Invånare  totalt, antal",Mariestad,2016,24215
"Invånare  totalt, antal",Mark,2010,33845
"Invånare  totalt, antal",Mark,2011,33791
"Invånare  totalt, antal",Mark,2012,33763
"Invånare  totalt, antal",Mark,2013,33753
"Invånare  totalt, antal",Mark,2014,33887
"Invånare  totalt, antal",Mark,2015,33906
"Invånare  totalt, antal",Mark,2016,34218
"Invånare  totalt, antal",Markaryd,2010,9619
"Invånare  totalt, antal",Markaryd,2011,9513
"Invånare  totalt, antal",Markaryd,2012,9477
"Invånare  totalt, antal",Markaryd,2013,9515
"Invånare  totalt, antal",Markaryd,2014,9549
"Invånare  totalt, antal",Markaryd,2015,9779
"Invånare  totalt, antal",Markaryd,2016,9991
"Invånare  totalt, antal",Mellerud,2010,9179
"Invånare  totalt, antal",Mellerud,2011,9068
"Invånare  totalt, antal",Mellerud,2012,8946
"Invånare  totalt, antal",Mellerud,2013,8892
"Invånare  totalt, antal",Mellerud,2014,8936
"Invånare  totalt, antal",Mellerud,2015,9169
"Invånare  totalt, antal",Mellerud,2016,9323
"Invånare  totalt, antal",Mjölby,2010,25856
"Invånare  totalt, antal",Mjölby,2011,26073
"Invånare  totalt, antal",Mjölby,2012,26195
"Invånare  totalt, antal",Mjölby,2013,26313
"Invånare  totalt, antal",Mjölby,2014,26428
"Invånare  totalt, antal",Mjölby,2015,26602
"Invånare  totalt, antal",Mjölby,2016,26708
"Invånare  totalt, antal",Mora,2010,20153
"Invånare  totalt, antal",Mora,2011,20107
"Invånare  totalt, antal",Mora,2012,20082
"Invånare  totalt, antal",Mora,2013,19998
"Invånare  totalt, antal",Mora,2014,20006
"Invånare  totalt, antal",Mora,2015,20101
"Invånare  totalt, antal",Mora,2016,20279
"Invånare  totalt, antal",Motala,2010,41955
"Invånare  totalt, antal",Motala,2011,41828
"Invånare  totalt, antal",Motala,2012,41867
"Invånare  totalt, antal",Motala,2013,42187
"Invånare  totalt, antal",Motala,2014,42556
"Invånare  totalt, antal",Motala,2015,42903
"Invånare  totalt, antal",Motala,2016,43258
"Invånare  totalt, antal",Mullsjö,2010,7033
"Invånare  totalt, antal",Mullsjö,2011,7034
"Invånare  totalt, antal",Mullsjö,2012,7070
"Invånare  totalt, antal",Mullsjö,2013,7039
"Invånare  totalt, antal",Mullsjö,2014,7109
"Invånare  totalt, antal",Mullsjö,2015,7157
"Invånare  totalt, antal",Mullsjö,2016,7226
"Invånare  totalt, antal",Munkedal,2010,10181
"Invånare  totalt, antal",Munkedal,2011,10223
"Invånare  totalt, antal",Munkedal,2012,10173
"Invånare  totalt, antal",Munkedal,2013,10205
"Invånare  totalt, antal",Munkedal,2014,10243
"Invånare  totalt, antal",Munkedal,2015,10205
"Invånare  totalt, antal",Munkedal,2016,10361
