Region,2016,2015
ALE,119,69
ALINGSÅS,185,164
ALVESTA,177,210
ANEBY,67,99
ARBOGA,121,186
ARJEPLOG,24,32
ARVIDSJAUR,49,34
ARVIKA,179,102
ASKERSUND,119,113
AVESTA,521,725
BENGTSFORS,253,164
BERG,80,40
BJURHOLM,18,22
BJUV,114,75
BODEN,153,201
BOLLEBYGD,38,15
BOLLNÄS,307,409
BORGHOLM,114,78
BORLÄNGE,436,434
BORÅS,698,589
BOTKYRKA,619,440
BOXHOLM,37,36
BROMÖLLA,87,113
BRÄCKE,59,91
BURLÖV,176,66
BÅSTAD,134,64
DALS-ED,34,42
DANDERYD,126,63
DEGERFORS,98,88
DOROTEA,23,57
EDA,42,50
EKERÖ,108,34
EKSJÖ,284,121
EMMABODA,142,98
ENKÖPING,298,141
ESKILSTUNA,1119,1003
ESLÖV,211,99
ESSUNGA,23,30
FAGERSTA,237,247
FALKENBERG,340,303
FALKÖPING,275,310
FALUN,333,195
FILIPSTAD,223,210
FINSPÅNG,165,129
FLEN,330,303
FORSHAGA,66,37
FÄRGELANDA,74,58
GAGNEF,57,26
GISLAVED,398,420
GNESTA,64,30
GNOSJÖ,114,114
GOTLAND,282,101
GRUMS,106,95
GRÄSTORP,22,28
GULLSPÅNG,67,74
GÄLLIVARE,36,38
GÄVLE,592,556
GÖTEBORG,3321,2119
GÖTENE,144,65
HABO,47,17
HAGFORS,131,125
HALLSBERG,144,119
HALLSTAHAMMAR,131,101
HALMSTAD,686,564
HAMMARÖ,38,23
HANINGE,370,165
HAPARANDA,92,59
HEBY,92,60
HEDEMORA,236,249
HELSINGBORG,1026,765
HERRLJUNGA,57,42
HJO,47,70
HOFORS,67,58
HUDDINGE,590,340
HUDIKSVALL,157,126
HULTSFRED,476,410
HYLTE,320,358
HÅBO,92,43
HÄLLEFORS,180,144
HÄRJEDALEN,71,100
HÄRNÖSAND,359,450
HÄRRYDA,139,25
HÄSSLEHOLM,469,394
HÖGANÄS,108,52
HÖGSBY,235,240
HÖRBY,59,44
HÖÖR,81,14
JOKKMOKK,36,51
JÄRFÄLLA,470,321
JÖNKÖPING,803,565
KALIX,76,34
KALMAR,343,275
KARLSBORG,92,53
KARLSHAMN,288,245
KARLSKOGA,242,266
KARLSKRONA,377,435
KARLSTAD,381,264
KATRINEHOLM,380,228
KIL,48,8
KINDA,68,41
KIRUNA,138,63
KLIPPAN,102,49
KNIVSTA,82,32
KRAMFORS,161,221
KRISTIANSTAD,624,586
KRISTINEHAMN,362,320
KROKOM,121,118
KUMLA,114,75
KUNGSBACKA,247,69
KUNGSÖR,145,107
KUNGÄLV,142,40
KÄVLINGE,128,36
KÖPING,247,151
LAHOLM,241,262
LANDSKRONA,327,286
LAXÅ,97,107
LEKEBERG,45,27
LEKSAND,153,65
LERUM,125,35
LESSEBO,270,240
LIDINGÖ,226,60
LIDKÖPING,185,81
LILLA EDET,48,20
LINDESBERG,244,352
LINKÖPING,844,329
LJUNGBY,246,134
LJUSDAL,126,160
LJUSNARSBERG,142,129
LOMMA,87,18
LUDVIKA,340,319
LULEÅ,285,113
LUND,395,165
LYCKSELE,62,56
LYSEKIL,154,170
MALMÖ,2595,1619
MALUNG-SÄLEN,103,36
MALÅ,29,33
MARIESTAD,91,100
MARK,187,101
MARKARYD,202,188
MELLERUD,251,228
MJÖLBY,117,80
MORA,130,38
MOTALA,401,388
MULLSJÖ,41,17
MUNKEDAL,117,86
MUNKFORS,63,56
MÖLNDAL,281,110
MÖNSTERÅS,175,123
MÖRBYLÅNGA,139,54
NACKA,429,135
NORA,143,80
NORBERG,92,100
NORDANSTIG,73,67
NORDMALING,58,45
NORRKÖPING,1395,821
NORRTÄLJE,217,130
NORSJÖ,25,35
NYBRO,388,338
NYKVARN,46,25
NYKÖPING,329,178
NYNÄSHAMN,97,51
NÄSSJÖ,365,477
OCKELBO,86,137
OLOFSTRÖM,185,253
ORSA,70,47
ORUST,75,30
OSBY,149,187
OSKARSHAMN,230,161
OVANÅKER,99,203
OXELÖSUND,229,216
PAJALA,47,25
PARTILLE,167,68
PERSTORP,115,88
PITEÅ,170,99
RAGUNDA,66,58
ROBERTSFORS,31,37
RONNEBY,635,602
RÄTTVIK,59,25
SALA,193,165
SALEM,84,69
SANDVIKEN,513,515
SIGTUNA,338,210
SIMRISHAMN,187,235
SJÖBO,80,43
SKARA,249,190
SKELLEFTEÅ,316,271
SKINNSKATTEBERG,38,41
SKURUP,81,43
SKÖVDE,360,285
SMEDJEBACKEN,84,51
SOLLEFTEÅ,243,311
SOLLENTUNA,418,198
SOLNA,342,97
SORSELE,55,44
SOTENÄS,86,25
STAFFANSTORP,56,16
STENUNGSUND,122,55
STOCKHOLM,3793,2087
STORFORS,99,69
STORUMAN,40,60
STRÄNGNÄS,120,89
STRÖMSTAD,91,43
STRÖMSUND,134,110
SUNDBYBERG,362,253
SUNDSVALL,320,388
SUNNE,169,114
SURAHAMMAR,72,74
SVALÖV,123,78
SVEDALA,72,37
SVENLJUNGA,115,84
SÄFFLE,264,199
SÄTER,53,15
SÄVSJÖ,150,216
SÖDERHAMN,322,393
SÖDERKÖPING,75,19
SÖDERTÄLJE,967,917
SÖLVESBORG,148,121
TANUM,117,74
TIBRO,159,161
TIDAHOLM,129,105
TIERP,154,59
TIMRÅ,81,66
TINGSRYD,98,193
TJÖRN,123,53
TOMELILLA,130,71
TORSBY,132,97
TORSÅS,107,71
TRANEMO,101,92
TRANÅS,171,137
TRELLEBORG,187,124
TROLLHÄTTAN,477,364
TROSA,64,34
TYRESÖ,102,75
TÄBY,186,86
TÖREBODA,172,157
UDDEVALLA,585,328
ULRICEHAMN,183,134
UMEÅ,408,185
UPPLANDS-BRO,158,91
UPPLANDS-VÄSBY,275,166
UPPSALA,1314,794
UPPVIDINGE,184,161
VADSTENA,39,32
VAGGERYD,93,34
VALDEMARSVIK,129,135
VALLENTUNA,115,11
VANSBRO,85,51
VARA,89,68
VARBERG,275,90
VAXHOLM,44,4
VELLINGE,96,10
VETLANDA,290,256
VILHELMINA,59,89
VIMMERBY,211,164
VINDELN,24,43
VINGÅKER,108,104
VÅRGÅRDA,85,56
VÄNERSBORG,507,388
VÄNNÄS,37,21
VÄRMDÖ,122,50
VÄRNAMO,228,149
VÄSTERVIK,343,289
VÄSTERÅS,1110,684
VÄXJÖ,480,429
YDRE,26,24
YSTAD,169,98
ÅMÅL,265,265
ÅNGE,47,32
ÅRE,135,116
ÅRJÄNG,82,58
ÅSELE,22,29
ÅSTORP,172,149
ÅTVIDABERG,96,74
ÄLMHULT,160,92
ÄLVDALEN,37,28
ÄLVKARLEBY,122,102
ÄLVSBYN,70,53
ÄNGELHOLM,171,69
ÖCKERÖ,64,1
ÖDESHÖG,81,36
ÖREBRO,841,614
ÖRKELLJUNGA,93,93
ÖRNSKÖLDSVIK,383,304
ÖSTERSUND,283,368
ÖSTERÅKER,174,74
ÖSTHAMMAR,108,50
ÖSTRA GÖINGE,388,368
ÖVERKALIX,45,36
ÖVERTORNEÅ,38,31
