Grupp,Kommunkod,Kommun namn,Huvudgrupp kod,Huvudgrupp namn,Kommungrupp kod,Kommungrupp 2017 namn,Länskod,Län namn,Landsting/region namn
A1,180,Stockholm,A,Storstäder och storstadsnära kommuner,1,Storstäder,1,Stockholms län,Stockholms läns landsting
A1,1280,Malmö,A,Storstäder och storstadsnära kommuner,1,Storstäder,12,Region Skåne,Region Skåne
A1,1480,Göteborg,A,Storstäder och storstadsnära kommuner,1,Storstäder,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,114,Upplands Väsby,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,115,Vallentuna,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,117,Österåker,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,120,Värmdö,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,123,Järfälla,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,125,Ekerö,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,126,Huddinge,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,127,Botkyrka,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,128,Salem,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,136,Haninge,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,138,Tyresö,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,139,Upplands-Bro,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,160,Täby,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,162,Danderyd,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,163,Sollentuna,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,182,Nacka,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,183,Sundbyberg,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,184,Solna,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,186,Lidingö,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,187,Vaxholm,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,191,Sigtuna,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,192,Nynäshamn,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,1,Stockholms län,Stockholms läns landsting
A2,305,Håbo,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,3,Uppsala län,Landstinget Uppsala
A2,1230,Staffanstorp,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,12,Region Skåne,Region Skåne
A2,1231,Burlöv,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,12,Region Skåne,Region Skåne
A2,1233,Vellinge,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,12,Region Skåne,Region Skåne
A2,1261,Kävlinge,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,12,Region Skåne,Region Skåne
A2,1262,Lomma,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,12,Region Skåne,Region Skåne
A2,1263,Svedala,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,12,Region Skåne,Region Skåne
A2,1264,Skurup,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,12,Region Skåne,Region Skåne
A2,1287,Trelleborg,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,12,Region Skåne,Region Skåne
A2,1384,Kungsbacka,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,13,Region Halland,Region Halland
A2,1401,Härryda,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1402,Partille,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1407,Öckerö,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1415,Stenungsund,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1440,Ale,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1441,Lerum,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1443,Bollebygd,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1462,Lilla Edet,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1481,Mölndal,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1482,Kungälv,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
A2,1489,Alingsås,A,Storstäder och storstadsnära kommuner,2,Pendlingskommun nära storstad,14,Västra Götalandsregionen,Västra Götalandsregionen
B3,181,Södertälje,B,Större städer och kommuner nära större stad,3,Större stad,1,Stockholms län,Stockholms läns landsting
B3,380,Uppsala,B,Större städer och kommuner nära större stad,3,Större stad,3,Uppsala län,Landstinget Uppsala
B3,484,Eskilstuna,B,Större städer och kommuner nära större stad,3,Större stad,4,Södermanlands län,Landstinget Sörmland
B3,580,Linköping,B,Större städer och kommuner nära större stad,3,Större stad,5,Östergötlands län,Region Östergötland
B3,581,Norrköping,B,Större städer och kommuner nära större stad,3,Större stad,5,Östergötlands län,Region Östergötland
B3,680,Jönköping,B,Större städer och kommuner nära större stad,3,Större stad,6,Jönköpings län,Region Jönköpings län
B3,780,Växjö,B,Större städer och kommuner nära större stad,3,Större stad,7,Kronobergs län,Region Kronoberg
B3,1281,Lund,B,Större städer och kommuner nära större stad,3,Större stad,12,Region Skåne,Region Skåne
B3,1283,Helsingborg,B,Större städer och kommuner nära större stad,3,Större stad,12,Region Skåne,Region Skåne
B3,1380,Halmstad,B,Större städer och kommuner nära större stad,3,Större stad,13,Region Halland,Region Halland
B3,1488,Trollhättan,B,Större städer och kommuner nära större stad,3,Större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B3,1490,Borås,B,Större städer och kommuner nära större stad,3,Större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B3,1780,Karlstad,B,Större städer och kommuner nära större stad,3,Större stad,17,Värmlands län,Landstinget Värmland
B3,1880,Örebro,B,Större städer och kommuner nära större stad,3,Större stad,18,Örebro län,Region Örebro län
B3,1980,Västerås,B,Större städer och kommuner nära större stad,3,Större stad,19,Västmanlands län,Landstinget Västmanland
B3,2081,Borlänge,B,Större städer och kommuner nära större stad,3,Större stad,20,Dalarnas län,Landstinget Dalarna
B3,2180,Gävle,B,Större städer och kommuner nära större stad,3,Större stad,21,Gävleborgs län,Region Gävleborg
B3,2281,Sundsvall,B,Större städer och kommuner nära större stad,3,Större stad,22,Västernorrlands län,Landstinget Västernorrland
B3,2380,Östersund,B,Större städer och kommuner nära större stad,3,Större stad,23,Jämtlands län,Region Jämtland Härjedalen
B3,2480,Umeå,B,Större städer och kommuner nära större stad,3,Större stad,24,Västerbottens län,Västerbottens läns landsting
B3,2580,Luleå,B,Större städer och kommuner nära större stad,3,Större stad,25,Norrbottens län,Norrbottens läns landsting
B4,140,Nykvarn,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,1,Stockholms län,Stockholms läns landsting
B4,319,Älvkarleby,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,3,Uppsala län,Landstinget Uppsala
B4,330,Knivsta,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,3,Uppsala län,Landstinget Uppsala
B4,331,Heby,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,3,Uppsala län,Landstinget Uppsala
B4,360,Tierp,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,3,Uppsala län,Landstinget Uppsala
B4,461,Gnesta,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,4,Södermanlands län,Landstinget Sörmland
B4,486,Strängnäs,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,4,Södermanlands län,Landstinget Sörmland
B4,488,Trosa,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,4,Södermanlands län,Landstinget Sörmland
B4,561,Åtvidaberg,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,5,Östergötlands län,Region Östergötland
B4,582,Söderköping,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,5,Östergötlands län,Region Östergötland
B4,586,Mjölby,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,5,Östergötlands län,Region Östergötland
B4,604,Aneby,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,6,Jönköpings län,Region Jönköpings län
B4,642,Mullsjö,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,6,Jönköpings län,Region Jönköpings län
B4,643,Habo,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,6,Jönköpings län,Region Jönköpings län
B4,761,Lessebo,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,7,Kronobergs län,Region Kronoberg
B4,764,Alvesta,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,7,Kronobergs län,Region Kronoberg
B4,1214,Svalöv,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1257,Örkelljunga,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1260,Bjuv,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1265,Sjöbo,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1266,Hörby,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1267,Höör,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1275,Perstorp,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1276,Klippan,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1277,Åstorp,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1282,Landskrona,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1284,Höganäs,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1285,Eslöv,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1292,Ängelholm,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,12,Region Skåne,Region Skåne
B4,1381,Laholm,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,13,Region Halland,Region Halland
B4,1439,Färgelanda,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B4,1444,Grästorp,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B4,1463,Mark,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B4,1465,Svenljunga,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B4,1487,Vänersborg,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B4,1715,Kil,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,17,Värmlands län,Landstinget Värmland
B4,1761,Hammarö,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,17,Värmlands län,Landstinget Värmland
B4,1763,Forshaga,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,17,Värmlands län,Landstinget Värmland
B4,1764,Grums,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,17,Värmlands län,Landstinget Värmland
B4,1814,Lekeberg,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,18,Örebro län,Region Örebro län
B4,1861,Hallsberg,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,18,Örebro län,Region Örebro län
B4,1881,Kumla,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,18,Örebro län,Region Örebro län
B4,1884,Nora,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,18,Örebro län,Region Örebro län
B4,1907,Surahammar,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,19,Västmanlands län,Landstinget Västmanland
B4,1961,Hallstahammar,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,19,Västmanlands län,Landstinget Västmanland
B4,2026,Gagnef,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,20,Dalarnas län,Landstinget Dalarna
B4,2082,Säter,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,20,Dalarnas län,Landstinget Dalarna
B4,2262,Timrå,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,22,Västernorrlands län,Landstinget Västernorrland
B4,2309,Krokom,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,23,Jämtlands län,Region Jämtland Härjedalen
B4,2401,Nordmaling,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,24,Västerbottens län,Västerbottens läns landsting
B4,2403,Bjurholm,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,24,Västerbottens län,Västerbottens läns landsting
B4,2460,Vännäs,B,Större städer och kommuner nära större stad,4,Pendlingskommun nära större stad,24,Västerbottens län,Västerbottens läns landsting
B5,381,Enköping,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,3,Uppsala län,Landstinget Uppsala
B5,382,Östhammar,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,3,Uppsala län,Landstinget Uppsala
B5,482,Flen,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,4,Södermanlands län,Landstinget Sörmland
B5,513,Kinda,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,5,Östergötlands län,Region Östergötland
B5,562,Finspång,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,5,Östergötlands län,Region Östergötland
B5,563,Valdemarsvik,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,5,Östergötlands län,Region Östergötland
B5,583,Motala,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,5,Östergötlands län,Region Östergötland
B5,665,Vaggeryd,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,6,Jönköpings län,Region Jönköpings län
B5,682,Nässjö,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,6,Jönköpings län,Region Jönköpings län
B5,687,Tranås,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,6,Jönköpings län,Region Jönköpings län
B5,760,Uppvidinge,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,7,Kronobergs län,Region Kronoberg
B5,763,Tingsryd,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,7,Kronobergs län,Region Kronoberg
B5,1315,Hylte,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,13,Region Halland,Region Halland
B5,1452,Tranemo,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B5,1466,Herrljunga,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B5,1484,Lysekil,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B5,1485,Uddevalla,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B5,1491,Ulricehamn,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,14,Västra Götalandsregionen,Västra Götalandsregionen
B5,1762,Munkfors,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,17,Värmlands län,Landstinget Värmland
B5,1781,Kristinehamn,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,17,Värmlands län,Landstinget Värmland
B5,1785,Säffle,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,17,Värmlands län,Landstinget Värmland
B5,1860,Laxå,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,18,Örebro län,Region Örebro län
B5,1882,Askersund,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,18,Örebro län,Region Örebro län
B5,1885,Lindesberg,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,18,Örebro län,Region Örebro län
B5,1981,Sala,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,19,Västmanlands län,Landstinget Västmanland
B5,1983,Köping,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,19,Västmanlands län,Landstinget Västmanland
B5,2101,Ockelbo,B,Större städer och kommuner nära större stad,5,Lågpendlingskommun nära större stad,21,Gävleborgs län,Region Gävleborg
